237,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-03-15 12:09:00,1
2019-03-15 12:10:00,2
2019-03-15 12:12:00,1
2019-03-15 12:16:00,1
2019-03-15 12:18:00,1
2019-03-15 12:19:00,1
2019-03-15 12:25:00,1
2019-03-15 12:26:00,3
2019-03-15 12:27:00,2
2019-03-15 12:28:00,2
2019-03-15 12:29:00,2
2019-03-15 12:30:00,1
2019-03-15 12:31:00,2
2019-03-15 12:58:00,1
2019-03-15 13:58:00,1
2019-03-15 14:01:00,1
2019-03-15 14:02:00,1
2019-03-15 14:04:00,2
2019-03-15 14:05:00,2
2019-03-15 14:06:00,3
2019-03-15 14:07:00,2
2019-03-15 14:08:00,2
2019-03-15 14:12:00,1
2019-03-15 14:24:00,2
2019-03-15 14:25:00,1
2019-03-15 14:28:00,4
2019-03-15 14:29:00,5
2019-03-15 14:30:00,5
2019-03-15 14:31:00,3
2019-03-15 14:32:00,4
2019-03-15 14:33:00,5
2019-03-15 14:35:00,5
2019-03-15 14:36:00,6
2019-03-15 14:37:00,4
2019-03-15 14:38:00,4
2019-03-15 14:39:00,3
2019-03-15 14:40:00,1
2019-03-15 14:44:00,4
2019-03-15 14:45:00,5
2019-03-15 14:47:00,1
2019-03-15 14:48:00,3
2019-03-15 14:49:00,2
2019-03-15 14:50:00,2
2019-03-15 14:51:00,2
2019-03-15 14:52:00,5
2019-03-15 14:53:00,3
2019-03-15 14:59:00,3
2019-03-15 15:00:00,5
2019-03-15 15:01:00,2
2019-03-15 15:03:00,1
2019-03-15 15:04:00,4
2019-03-15 15:05:00,4
2019-03-15 15:06:00,4
2019-03-15 15:07:00,4
2019-03-15 15:08:00,4
2019-03-15 15:09:00,3
2019-03-15 15:10:00,5
2019-03-15 15:11:00,5
2019-03-15 15:12:00,4
2019-03-15 15:13:00,5
2019-03-15 15:14:00,1
2019-03-15 17:33:00,4
2019-03-15 17:34:00,7
2019-03-15 17:35:00,4
2019-03-15 17:36:00,4
2019-03-15 17:37:00,4
2019-03-15 17:38:00,4
2019-03-15 17:39:00,7
2019-03-15 17:40:00,4
2019-03-15 17:41:00,4
2019-03-15 17:42:00,4
2019-03-15 17:43:00,4
2019-03-15 17:44:00,4
2019-03-15 17:45:00,4
2019-03-15 17:46:00,4
2019-03-15 17:47:00,6
