7,"select t.logMass, t.logMass_err /n from SpecObjAll s /n JOIN stellarMassFSPSGranEarlyDust t ON t.specObjID = s.specobjID /n where s.ra BETWEEN # AND #   and s.dec BETWEEN # AND #   and s.z BETWEEN # and #"
2019-03-15 14:34:00,4
2019-03-15 14:35:00,3
