790,"select s.z, p.petroRad_z   from photoObj p   JOIN specObj s ON s.bestObjID = p.objID   where s.bestObjID = #"
2019-03-15 08:56:00,2
2019-03-15 11:46:00,18
2019-03-15 11:47:00,22
2019-03-15 11:48:00,14
2019-03-15 11:49:00,19
2019-03-15 11:50:00,12
2019-03-15 11:54:00,34
2019-03-15 11:55:00,4
2019-03-15 12:07:00,28
2019-03-15 12:08:00,40
2019-03-15 12:09:00,48
2019-03-15 12:10:00,46
2019-03-15 12:11:00,46
2019-03-15 12:12:00,44
2019-03-15 12:25:00,20
2019-03-15 12:26:00,42
2019-03-15 12:27:00,32
2019-03-15 12:28:00,32
2019-03-15 12:29:00,32
2019-03-15 12:30:00,27
2019-03-15 12:31:00,24
2019-03-15 12:32:00,27
2019-03-15 12:33:00,28
2019-03-15 12:34:00,25
2019-03-15 12:35:00,23
2019-03-15 12:36:00,31
2019-03-15 12:37:00,28
2019-03-15 12:38:00,25
2019-03-15 12:39:00,17
