3,"SELECT TOP #
  p.objid,p.ra,p.dec,
  p.psfmag_u,p.psfmag_g,p.psfmag_r,p.psfmag_i,p.psfmag_z,
  p.run, p.rerun, p.camcol, p.field,
  s.specobjid, s.class, s.z as redshift,
  s.plate, s.mjd, s.fiberid, s.ancillary_target1
 FROM PhotoObj AS p
  JOIN SpecObj AS s ON s.bestobjid = p.objid
 WHERE 
 p.mode=#
 and p.probPSF=#
 and s.class=&&&
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = # # cosmic ray
 and (p.flags & #) = # # interp
 and (p.flags & #) = # # badsky
 and (p.flags & #) = # # moving
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and (p.flags & #) = #
 and p.psfmag_z<# and p.psfmag_i<# and p.psfmag_r<#
 and p.psfmag_z># and p.psfmag_i># and p.psfmag_r>#"
2019-03-15 22:52:00,1
2019-03-15 22:53:00,2
