562,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-15 12:35:00,17
2019-03-15 12:41:00,14
2019-03-15 12:42:00,14
2019-03-15 12:44:00,14
2019-03-15 12:46:00,49
2019-03-15 12:51:00,28
2019-03-15 12:53:00,31
2019-03-15 12:55:00,49
2019-03-15 12:59:00,17
2019-03-15 13:00:00,11
2019-03-15 13:01:00,55
2019-03-15 13:07:00,23
2019-03-15 13:08:00,10
2019-03-15 13:09:00,35
2019-03-15 13:10:00,47
2019-03-15 13:15:00,20
2019-03-15 13:16:00,14
2019-03-15 13:17:00,16
2019-03-15 13:24:00,21
2019-03-15 13:25:00,14
2019-03-15 13:31:00,21
2019-03-15 13:32:00,29
2019-03-15 13:35:00,13
