19,"SELECT TOP # bestobjid, z FROM SpecObj WHERE class = &&& AND zWarning = # AND survey = &&& AND z BETWEEN # and #"
2019-03-15 06:44:00,1
2019-03-15 08:07:00,1
2019-03-15 08:08:00,3
2019-03-15 08:09:00,1
2019-03-15 08:16:00,1
2019-03-15 08:17:00,1
2019-03-15 08:23:00,1
2019-03-15 08:31:00,1
2019-03-15 08:38:00,1
2019-03-15 08:41:00,1
2019-03-15 08:43:00,1
2019-03-15 08:49:00,1
2019-03-15 08:53:00,1
2019-03-15 08:58:00,1
2019-03-15 09:00:00,1
2019-03-15 09:01:00,1
2019-03-15 09:04:00,1
