1079,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-03-15 11:46:00,19
2019-03-15 11:47:00,24
2019-03-15 11:48:00,15
2019-03-15 11:49:00,21
2019-03-15 11:50:00,12
2019-03-15 11:54:00,37
2019-03-15 11:55:00,4
2019-03-15 12:07:00,30
2019-03-15 12:08:00,45
2019-03-15 12:09:00,48
2019-03-15 12:10:00,47
2019-03-15 12:11:00,50
2019-03-15 12:12:00,46
2019-03-15 12:25:00,21
2019-03-15 12:26:00,47
2019-03-15 12:27:00,34
2019-03-15 12:28:00,31
2019-03-15 12:29:00,33
2019-03-15 12:30:00,27
2019-03-15 12:31:00,28
2019-03-15 12:32:00,30
2019-03-15 12:33:00,29
2019-03-15 12:34:00,26
2019-03-15 12:35:00,24
2019-03-15 12:36:00,32
2019-03-15 12:37:00,28
2019-03-15 12:38:00,26
2019-03-15 12:39:00,18
2019-03-15 14:43:00,12
2019-03-15 14:44:00,9
2019-03-15 14:45:00,14
2019-03-15 14:46:00,6
2019-03-15 14:53:00,4
2019-03-15 14:54:00,10
2019-03-15 14:55:00,7
2019-03-15 14:56:00,12
2019-03-15 14:57:00,8
2019-03-15 14:58:00,6
2019-03-15 14:59:00,7
2019-03-15 15:00:00,12
2019-03-15 15:01:00,8
2019-03-15 15:02:00,11
2019-03-15 15:03:00,10
2019-03-15 15:04:00,12
2019-03-15 15:05:00,25
2019-03-15 15:06:00,23
2019-03-15 15:07:00,21
2019-03-15 15:08:00,23
2019-03-15 15:09:00,7
