21,"SELECT dbo.fPhotoTypeN(p.type) AS Type, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, p.specObjID, p.objID, p.l, p.b, p.type, p.u, p.g, p.r, p.i, p.z AS pz, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.flags, p.mjd AS ImageMJD, dbo.fMjdToGMT(p.mjd) AS ImageMJDString, dbo.fPhotoModeN(p.mode) AS Mode, p.parentID, p.nChild, p.extinction_r, p.petroRad_r, p.petroRadErr_r, Photoz.z AS Photoz, Photoz.zerr AS Photoz_err, zooSpec.spiral AS Zoo1Morphology_spiral, zooSpec.elliptical AS Zoo1Morphology_elliptical, zooSpec.uncertain AS Zoo1Morphology_uncertain, s.instrument, s.class, s.z, s.zErr, s.survey, s.programname, s.sourcetype, s.velDisp, s.velDispErr, s.plate, s.mjd AS specMJD, s.fiberID FROM PhotoObj AS p LEFT JOIN Photoz ON Photoz.objID = p.objID LEFT JOIN zooSpec ON zooSpec.objID = p.objID LEFT JOIN SpecObj AS s ON s.specObjID = p.specObjID WHERE p.objID=#"
2019-03-15 15:13:00,1
2019-03-15 15:21:00,1
2019-03-15 15:29:00,1
2019-03-15 15:31:00,1
2019-03-15 15:32:00,1
2019-03-15 15:53:00,1
2019-03-15 16:02:00,1
2019-03-15 16:03:00,1
2019-03-15 16:06:00,1
2019-03-15 16:13:00,1
2019-03-15 16:14:00,1
2019-03-15 16:20:00,1
2019-03-15 16:26:00,1
2019-03-15 16:28:00,1
2019-03-15 16:30:00,1
2019-03-15 16:32:00,1
2019-03-15 16:33:00,1
2019-03-15 16:36:00,1
2019-03-15 16:39:00,1
2019-03-15 16:43:00,1
2019-03-15 16:50:00,1
