1007,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-15 06:37:00,13
2019-03-15 06:38:00,72
2019-03-15 06:39:00,70
2019-03-15 06:40:00,70
2019-03-15 06:41:00,69
2019-03-15 06:42:00,41
2019-03-15 06:43:00,72
2019-03-15 06:44:00,72
2019-03-15 06:45:00,71
2019-03-15 06:46:00,71
2019-03-15 06:47:00,71
2019-03-15 06:48:00,69
2019-03-15 06:49:00,35
2019-03-15 07:09:00,46
2019-03-15 07:10:00,61
2019-03-15 07:11:00,63
2019-03-15 09:50:00,14
2019-03-15 10:21:00,1
2019-03-15 14:40:00,10
2019-03-15 14:49:00,10
2019-03-15 15:20:00,1
2019-03-15 15:45:00,1
2019-03-15 16:10:00,1
2019-03-15 16:11:00,2
2019-03-15 23:10:00,1
