230,"select t.logMass, t.logMass_err /n from SpecObjAll s /n JOIN stellarMassFSPSGranEarlyDust t ON t.specObjID = s.specobjID /n where s.bestObjID = # # Name: bestObjID, dtype: object"
2019-03-15 14:43:00,12
2019-03-15 14:44:00,8
2019-03-15 14:45:00,13
2019-03-15 14:46:00,5
2019-03-15 14:53:00,4
2019-03-15 14:54:00,10
2019-03-15 14:55:00,5
2019-03-15 14:56:00,12
2019-03-15 14:57:00,7
2019-03-15 14:58:00,5
2019-03-15 14:59:00,6
2019-03-15 15:00:00,13
2019-03-15 15:01:00,8
2019-03-15 15:02:00,10
2019-03-15 15:03:00,9
2019-03-15 15:04:00,12
2019-03-15 15:05:00,23
2019-03-15 15:06:00,21
2019-03-15 15:07:00,20
2019-03-15 15:08:00,21
2019-03-15 15:09:00,6
