2987,"select s.z, p.petroRad_z   from photoObj p   JOIN specObj s ON s.bestObjID = p.objID   where s.bestObjID = #"
2019-04-03 10:17:00,6
2019-04-03 10:20:00,22
2019-04-03 10:21:00,48
2019-04-03 10:22:00,45
2019-04-03 10:23:00,51
2019-04-03 10:24:00,48
2019-04-03 10:25:00,48
2019-04-03 10:26:00,48
2019-04-03 10:27:00,47
2019-04-03 10:28:00,47
2019-04-03 10:29:00,49
2019-04-03 10:30:00,49
2019-04-03 10:31:00,42
2019-04-03 10:32:00,48
2019-04-03 10:33:00,47
2019-04-03 10:34:00,48
2019-04-03 10:35:00,47
2019-04-03 10:36:00,49
2019-04-03 10:37:00,46
2019-04-03 10:38:00,49
2019-04-03 10:39:00,50
2019-04-03 10:40:00,51
2019-04-03 10:41:00,46
2019-04-03 10:42:00,46
2019-04-03 10:43:00,48
2019-04-03 10:44:00,50
2019-04-03 10:45:00,47
2019-04-03 10:46:00,50
2019-04-03 10:47:00,47
2019-04-03 10:48:00,46
2019-04-03 10:49:00,25
2019-04-03 10:50:00,29
2019-04-03 10:51:00,29
2019-04-03 10:52:00,29
2019-04-03 10:53:00,37
2019-04-03 10:54:00,39
2019-04-03 10:55:00,39
2019-04-03 10:56:00,36
2019-04-03 10:57:00,37
2019-04-03 10:58:00,40
2019-04-03 10:59:00,43
2019-04-03 11:00:00,45
2019-04-03 11:01:00,45
2019-04-03 11:02:00,47
2019-04-03 11:03:00,49
2019-04-03 11:04:00,42
2019-04-03 11:05:00,50
2019-04-03 11:06:00,47
2019-04-03 11:07:00,51
2019-04-03 11:08:00,49
2019-04-03 11:09:00,49
2019-04-03 11:10:00,50
2019-04-03 11:11:00,49
2019-04-03 11:12:00,33
2019-04-03 11:13:00,38
2019-04-03 11:14:00,37
2019-04-03 11:15:00,42
2019-04-03 11:16:00,35
2019-04-03 11:17:00,40
2019-04-03 11:18:00,39
2019-04-03 11:19:00,46
2019-04-03 11:20:00,38
2019-04-03 11:21:00,45
2019-04-03 11:22:00,48
2019-04-03 11:23:00,43
2019-04-03 11:24:00,48
2019-04-03 11:25:00,48
2019-04-03 11:26:00,39
2019-04-03 11:27:00,39
2019-04-03 11:28:00,8
