5728,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-04-03 14:07:00,227
2019-04-03 14:08:00,692
2019-04-03 14:09:00,352
2019-04-03 14:10:00,706
2019-04-03 14:11:00,193
2019-04-03 14:12:00,558
2019-04-03 14:13:00,370
2019-04-03 14:14:00,796
2019-04-03 14:15:00,416
2019-04-03 14:16:00,646
2019-04-03 14:17:00,472
2019-04-03 14:18:00,88
2019-04-03 15:47:00,72
2019-04-03 15:48:00,140
