989,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-03 12:42:00,28
2019-04-03 12:43:00,18
2019-04-03 12:45:00,14
2019-04-03 12:48:00,11
2019-04-03 12:49:00,11
2019-04-03 12:50:00,53
2019-04-03 12:53:00,11
2019-04-03 13:01:00,7
2019-04-03 13:02:00,4
2019-04-03 13:03:00,3
2019-04-03 13:04:00,18
2019-04-03 13:05:00,10
2019-04-03 13:06:00,5
2019-04-03 13:07:00,8
2019-04-03 13:08:00,13
2019-04-03 13:09:00,64
2019-04-03 13:10:00,6
2019-04-03 13:11:00,97
2019-04-03 13:13:00,12
2019-04-03 13:15:00,104
2019-04-03 13:16:00,94
2019-04-03 13:17:00,22
2019-04-03 13:18:00,16
2019-04-03 13:23:00,20
2019-04-03 13:24:00,15
2019-04-03 13:29:00,42
2019-04-03 13:39:00,4
2019-04-03 13:40:00,8
2019-04-03 13:42:00,9
2019-04-03 13:43:00,35
2019-04-03 13:48:00,29
2019-04-03 13:49:00,18
2019-04-03 13:53:00,80
2019-04-03 13:54:00,38
2019-04-03 13:55:00,2
2019-04-03 14:03:00,8
2019-04-03 14:10:00,35
2019-04-03 14:15:00,17
