1613,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and ra BETWEEN # AND #   and dec BETWEEN # AND #   and z BETWEEN nan and nan"
2019-04-03 11:29:00,93
2019-04-03 11:30:00,106
2019-04-03 11:31:00,108
2019-04-03 11:32:00,98
2019-04-03 11:33:00,105
2019-04-03 11:34:00,105
2019-04-03 11:35:00,83
2019-04-03 11:36:00,111
2019-04-03 11:37:00,107
2019-04-03 11:38:00,109
2019-04-03 11:39:00,106
2019-04-03 11:40:00,98
2019-04-03 11:41:00,109
2019-04-03 11:42:00,91
2019-04-03 11:43:00,107
2019-04-03 11:44:00,77
