3,"select top # m.mangaID,m.nsa_nsaid,a.ra,a.dec,m.catalog_ra,m.catalog_dec from mydb.bhagn as a,dbo.mangatarget as m where   abs(a.ra-m.catalog_ra) < .# and abs(a.dec-m.catalog_dec) < .#"
2019-04-03 09:25:00,1
2019-04-03 09:26:00,2
