323,"SELECT s.specObjID, g.class, g.subClass, x.z, x.ra, x.dec, x.plate, x.fiberID, x.MJD, s.oii_#_flux as OII3#, s.oiii_#_flux as OIII4#,s.oiii_#_flux as OIII5#, s.h_beta_flux as HBeta,s.h_alpha_flux as HAlpha,s.nii_#_flux as NII6#,x.logMass as logM FROM galSpecLine s JOIN stellarMassFSPSGranEarlyNoDust x ON x.specObjID = s.specObjID JOIN specObj g ON g.specObjID = s.specObjID WHERE x.plate = # AND x.fiberID = #"
2019-04-03 02:21:00,72
2019-04-03 02:22:00,91
2019-04-03 02:23:00,94
2019-04-03 02:24:00,3
2019-04-03 05:26:00,2
2019-04-03 05:27:00,1
2019-04-03 05:29:00,1
2019-04-03 05:30:00,1
2019-04-03 05:32:00,1
2019-04-03 05:42:00,2
2019-04-03 05:43:00,3
2019-04-03 05:44:00,1
2019-04-03 05:45:00,2
2019-04-03 05:46:00,3
2019-04-03 05:47:00,12
2019-04-03 05:50:00,3
2019-04-03 05:51:00,9
2019-04-03 05:52:00,2
2019-04-03 16:15:00,6
2019-04-03 16:16:00,5
2019-04-03 16:27:00,4
2019-04-03 16:28:00,2
2019-04-03 16:29:00,2
2019-04-03 16:34:00,1
