2,"SELECT TOP # objID, u,g,r,i,u-g, r-i, g-r, type,   petroMag_u, petroMag_g, petroMag_r, petroMag_i,   petroMag_z, petroRad_u, petroRad_g, petroRad_i, petroRad_z,s.z, zErr,velDisp into mydb.SecondGrand from Galaxy AS p   JOIN SpecObj AS s ON s.bestObjID=p.objID WHERE   r < #      AND s.z >#"
2019-04-03 14:23:00,1
2019-04-03 14:26:00,1
