2571,"select ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,petroR5#_r,probPSF,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-04-03 01:01:00,7
2019-04-03 01:02:00,7
2019-04-03 01:03:00,7
2019-04-03 01:04:00,1
2019-04-03 01:05:00,26
2019-04-03 01:06:00,1
2019-04-03 01:11:00,2
2019-04-03 01:12:00,5
2019-04-03 01:13:00,10
2019-04-03 01:14:00,12
2019-04-03 01:15:00,5
2019-04-03 01:16:00,9
2019-04-03 01:17:00,4
2019-04-03 01:21:00,2
2019-04-03 01:25:00,4
2019-04-03 01:26:00,2
2019-04-03 01:27:00,7
2019-04-03 01:28:00,10
2019-04-03 01:29:00,10
2019-04-03 01:30:00,27
2019-04-03 01:31:00,21
2019-04-03 01:32:00,22
2019-04-03 01:33:00,7
2019-04-03 01:34:00,2
2019-04-03 01:35:00,4
2019-04-03 01:36:00,4
2019-04-03 01:37:00,9
2019-04-03 01:38:00,8
2019-04-03 01:39:00,15
2019-04-03 01:40:00,23
2019-04-03 01:41:00,24
2019-04-03 01:42:00,12
2019-04-03 01:43:00,5
2019-04-03 01:44:00,6
2019-04-03 01:45:00,3
2019-04-03 01:46:00,4
2019-04-03 01:47:00,7
2019-04-03 01:48:00,6
2019-04-03 01:49:00,24
2019-04-03 01:50:00,16
2019-04-03 01:51:00,22
2019-04-03 01:52:00,14
2019-04-03 01:53:00,12
2019-04-03 01:54:00,12
2019-04-03 01:55:00,16
2019-04-03 01:56:00,8
2019-04-03 01:57:00,12
2019-04-03 01:58:00,11
2019-04-03 01:59:00,15
2019-04-03 02:00:00,18
2019-04-03 02:01:00,9
2019-04-03 02:02:00,7
2019-04-03 02:03:00,5
2019-04-03 02:04:00,2
2019-04-03 02:05:00,2
2019-04-03 02:06:00,7
2019-04-03 02:07:00,11
2019-04-03 02:08:00,3
2019-04-03 02:09:00,2
2019-04-03 02:10:00,3
2019-04-03 02:11:00,5
2019-04-03 02:12:00,9
2019-04-03 02:13:00,5
2019-04-03 02:14:00,8
2019-04-03 02:15:00,11
2019-04-03 02:16:00,11
2019-04-03 02:17:00,2
2019-04-03 02:18:00,3
2019-04-03 02:19:00,3
2019-04-03 02:20:00,3
2019-04-03 02:21:00,2
2019-04-03 02:23:00,1
2019-04-03 02:25:00,1
2019-04-03 02:26:00,3
2019-04-03 02:27:00,7
2019-04-03 02:28:00,10
2019-04-03 02:29:00,11
2019-04-03 02:30:00,11
2019-04-03 02:31:00,6
2019-04-03 02:32:00,7
2019-04-03 02:33:00,4
2019-04-03 02:34:00,2
2019-04-03 02:35:00,7
2019-04-03 02:36:00,11
2019-04-03 02:37:00,5
2019-04-03 02:38:00,7
2019-04-03 02:39:00,8
2019-04-03 02:40:00,9
2019-04-03 02:41:00,12
2019-04-03 02:42:00,15
2019-04-03 02:43:00,12
2019-04-03 02:44:00,5
2019-04-03 02:45:00,1
2019-04-03 02:54:00,1
2019-04-03 03:00:00,3
2019-04-03 03:01:00,5
2019-04-03 03:02:00,6
2019-04-03 03:03:00,4
2019-04-03 03:04:00,2
2019-04-03 03:05:00,3
2019-04-03 03:06:00,2
2019-04-03 03:07:00,7
2019-04-03 03:08:00,13
2019-04-03 03:09:00,17
2019-04-03 03:10:00,4
2019-04-03 03:11:00,8
2019-04-03 03:12:00,3
2019-04-03 03:13:00,8
2019-04-03 03:14:00,6
2019-04-03 03:15:00,3
2019-04-03 03:16:00,2
2019-04-03 03:17:00,4
2019-04-03 03:18:00,2
2019-04-03 03:19:00,3
2019-04-03 03:21:00,5
2019-04-03 03:22:00,3
2019-04-03 03:23:00,3
2019-04-03 03:24:00,1
2019-04-03 03:35:00,1
2019-04-03 03:37:00,1
2019-04-03 03:38:00,1
2019-04-03 03:39:00,3
2019-04-03 03:40:00,3
2019-04-03 03:41:00,2
2019-04-03 03:42:00,3
2019-04-03 03:44:00,2
2019-04-03 03:46:00,1
2019-04-03 03:47:00,6
2019-04-03 03:48:00,6
2019-04-03 03:49:00,5
2019-04-03 03:50:00,5
2019-04-03 03:51:00,6
2019-04-03 03:52:00,9
2019-04-03 03:53:00,6
2019-04-03 03:54:00,4
2019-04-03 03:55:00,4
2019-04-03 03:56:00,2
2019-04-03 03:57:00,1
2019-04-03 03:59:00,1
2019-04-03 04:03:00,1
2019-04-03 04:05:00,1
2019-04-03 04:06:00,1
2019-04-03 04:07:00,1
2019-04-03 04:21:00,2
2019-04-03 04:22:00,1
2019-04-03 04:26:00,2
2019-04-03 04:41:00,1
2019-04-03 04:42:00,3
2019-04-03 04:43:00,1
2019-04-03 04:44:00,2
2019-04-03 04:45:00,1
2019-04-03 04:46:00,1
2019-04-03 04:47:00,1
2019-04-03 04:48:00,1
2019-04-03 04:54:00,4
2019-04-03 04:55:00,4
2019-04-03 04:56:00,6
2019-04-03 04:57:00,5
2019-04-03 04:58:00,5
2019-04-03 04:59:00,3
2019-04-03 05:00:00,5
2019-04-03 05:01:00,5
2019-04-03 05:18:00,2
2019-04-03 05:19:00,2
2019-04-03 05:20:00,4
2019-04-03 05:21:00,2
2019-04-03 05:22:00,1
2019-04-03 05:23:00,1
2019-04-03 05:24:00,1
2019-04-03 05:25:00,2
2019-04-03 05:33:00,1
2019-04-03 05:34:00,3
2019-04-03 05:35:00,3
2019-04-03 05:36:00,11
2019-04-03 05:37:00,7
2019-04-03 05:38:00,7
2019-04-03 05:39:00,14
2019-04-03 05:40:00,12
2019-04-03 05:41:00,15
2019-04-03 05:42:00,11
2019-04-03 05:43:00,16
2019-04-03 05:44:00,15
2019-04-03 05:45:00,5
2019-04-03 05:46:00,5
2019-04-03 05:47:00,6
2019-04-03 05:48:00,3
2019-04-03 05:49:00,2
2019-04-03 05:50:00,4
2019-04-03 05:51:00,1
2019-04-03 05:52:00,1
2019-04-03 05:53:00,1
2019-04-03 05:55:00,5
2019-04-03 05:56:00,14
2019-04-03 05:57:00,20
2019-04-03 05:58:00,26
2019-04-03 05:59:00,13
2019-04-03 06:00:00,14
2019-04-03 06:01:00,6
2019-04-03 06:02:00,6
2019-04-03 06:03:00,9
2019-04-03 06:04:00,8
2019-04-03 06:06:00,4
2019-04-03 06:07:00,7
2019-04-03 06:08:00,6
2019-04-03 06:09:00,4
2019-04-03 06:10:00,8
2019-04-03 06:11:00,14
2019-04-03 06:12:00,11
2019-04-03 06:13:00,12
2019-04-03 06:14:00,5
2019-04-03 06:15:00,15
2019-04-03 06:16:00,7
2019-04-03 06:17:00,3
2019-04-03 06:18:00,5
2019-04-03 06:19:00,4
2019-04-03 06:20:00,2
2019-04-03 06:21:00,1
2019-04-03 06:22:00,3
2019-04-03 06:23:00,4
2019-04-03 06:24:00,3
2019-04-03 06:25:00,2
2019-04-03 06:26:00,3
2019-04-03 06:27:00,5
2019-04-03 06:28:00,2
2019-04-03 06:29:00,7
2019-04-03 06:30:00,10
2019-04-03 06:31:00,16
2019-04-03 06:32:00,19
2019-04-03 06:33:00,31
2019-04-03 06:34:00,19
2019-04-03 06:35:00,22
2019-04-03 06:36:00,18
2019-04-03 06:37:00,9
2019-04-03 06:38:00,5
2019-04-03 06:39:00,5
2019-04-03 06:40:00,3
2019-04-03 06:41:00,1
2019-04-03 06:42:00,2
2019-04-03 06:43:00,2
2019-04-03 06:44:00,1
2019-04-03 06:46:00,2
2019-04-03 06:47:00,7
2019-04-03 06:48:00,7
2019-04-03 06:49:00,14
2019-04-03 06:50:00,10
2019-04-03 06:51:00,14
2019-04-03 06:52:00,9
2019-04-03 06:53:00,10
2019-04-03 06:54:00,8
2019-04-03 06:55:00,6
2019-04-03 06:56:00,1
2019-04-03 07:00:00,1
2019-04-03 07:01:00,2
2019-04-03 07:02:00,1
2019-04-03 07:03:00,2
2019-04-03 07:04:00,1
2019-04-03 07:05:00,2
2019-04-03 07:07:00,1
2019-04-03 07:08:00,2
2019-04-03 07:09:00,2
2019-04-03 07:10:00,2
2019-04-03 07:13:00,1
2019-04-03 07:14:00,1
2019-04-03 07:34:00,1
2019-04-03 07:48:00,1
2019-04-03 07:49:00,1
2019-04-03 07:51:00,1
2019-04-03 07:54:00,2
2019-04-03 07:55:00,1
2019-04-03 07:56:00,5
2019-04-03 07:57:00,4
2019-04-03 07:58:00,7
2019-04-03 07:59:00,4
2019-04-03 08:00:00,4
2019-04-03 08:01:00,11
2019-04-03 08:02:00,9
2019-04-03 08:03:00,8
2019-04-03 08:04:00,3
2019-04-03 08:05:00,1
2019-04-03 08:08:00,2
2019-04-03 08:09:00,1
2019-04-03 08:10:00,1
2019-04-03 08:11:00,1
2019-04-03 08:12:00,1
2019-04-03 08:13:00,1
2019-04-03 08:14:00,1
2019-04-03 08:15:00,1
2019-04-03 08:16:00,1
2019-04-03 08:17:00,4
2019-04-03 08:18:00,5
2019-04-03 08:19:00,10
2019-04-03 08:20:00,5
2019-04-03 08:21:00,5
2019-04-03 08:22:00,4
2019-04-03 08:23:00,1
2019-04-03 08:24:00,1
2019-04-03 08:25:00,6
2019-04-03 08:26:00,2
2019-04-03 08:27:00,4
2019-04-03 08:28:00,13
2019-04-03 08:29:00,25
2019-04-03 08:30:00,27
2019-04-03 08:31:00,37
2019-04-03 08:32:00,42
2019-04-03 08:33:00,33
2019-04-03 08:34:00,38
2019-04-03 08:35:00,27
2019-04-03 08:36:00,15
2019-04-03 08:37:00,14
2019-04-03 08:38:00,8
2019-04-03 08:39:00,5
2019-04-03 08:40:00,4
2019-04-03 08:41:00,3
2019-04-03 08:42:00,1
2019-04-03 08:43:00,1
2019-04-03 08:44:00,3
2019-04-03 08:45:00,4
2019-04-03 08:46:00,10
2019-04-03 08:47:00,6
2019-04-03 08:48:00,5
2019-04-03 08:49:00,5
2019-04-03 08:50:00,1
2019-04-03 08:51:00,1
2019-04-03 08:52:00,6
2019-04-03 08:53:00,6
2019-04-03 08:57:00,2
2019-04-03 08:58:00,3
2019-04-03 08:59:00,5
2019-04-03 09:00:00,5
2019-04-03 09:01:00,3
2019-04-03 09:02:00,5
2019-04-03 09:03:00,4
2019-04-03 09:04:00,2
2019-04-03 09:05:00,2
2019-04-03 09:06:00,1
2019-04-03 09:07:00,3
2019-04-03 09:08:00,1
2019-04-03 09:09:00,2
2019-04-03 09:10:00,1
2019-04-03 09:11:00,1
2019-04-03 09:12:00,1
2019-04-03 09:13:00,3
2019-04-03 09:14:00,3
2019-04-03 09:15:00,1
2019-04-03 09:16:00,3
2019-04-03 09:17:00,2
2019-04-03 09:18:00,3
2019-04-03 09:19:00,4
2019-04-03 09:20:00,6
2019-04-03 09:21:00,6
2019-04-03 09:22:00,5
2019-04-03 09:23:00,6
2019-04-03 09:24:00,11
2019-04-03 09:25:00,13
2019-04-03 09:26:00,18
2019-04-03 09:27:00,10
2019-04-03 09:28:00,9
2019-04-03 09:29:00,10
2019-04-03 09:30:00,5
2019-04-03 09:31:00,3
2019-04-03 09:33:00,2
2019-04-03 09:34:00,5
2019-04-03 09:35:00,7
2019-04-03 09:36:00,1
2019-04-03 09:37:00,1
2019-04-03 09:38:00,2
2019-04-03 09:40:00,3
2019-04-03 09:41:00,8
2019-04-03 09:42:00,9
2019-04-03 09:43:00,7
2019-04-03 09:44:00,10
2019-04-03 09:45:00,7
2019-04-03 09:46:00,3
2019-04-03 09:47:00,3
2019-04-03 09:48:00,1
2019-04-03 09:50:00,3
2019-04-03 09:51:00,5
2019-04-03 09:52:00,6
2019-04-03 09:53:00,2
2019-04-03 09:54:00,6
2019-04-03 09:55:00,4
2019-04-03 09:56:00,3
2019-04-03 09:58:00,1
2019-04-03 10:01:00,1
2019-04-03 10:17:00,1
2019-04-03 10:19:00,2
2019-04-03 10:21:00,1
2019-04-03 10:22:00,1
2019-04-03 10:23:00,1
2019-04-03 10:24:00,1
2019-04-03 10:27:00,7
2019-04-03 10:28:00,7
2019-04-03 10:29:00,13
2019-04-03 10:30:00,15
2019-04-03 10:31:00,15
2019-04-03 10:32:00,15
2019-04-03 10:33:00,2
2019-04-03 10:34:00,6
2019-04-03 10:35:00,11
2019-04-03 10:36:00,7
2019-04-03 10:37:00,3
2019-04-03 10:38:00,2
2019-04-03 10:40:00,2
2019-04-03 10:41:00,3
2019-04-03 10:42:00,3
2019-04-03 10:43:00,2
2019-04-03 10:45:00,2
2019-04-03 10:46:00,3
2019-04-03 10:47:00,1
2019-04-03 10:48:00,2
2019-04-03 17:36:00,1
