7,"SELECT TOP #  objid,ra,dec,r,err_r,extinction_r FROM Galaxy WHERE  ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-04-03 08:55:00,1
2019-04-03 09:09:00,1
2019-04-03 09:11:00,4
2019-04-03 09:12:00,1
