2,"SELECT TOP #  s.class,s.spectroFlux_g,s.spectroFlux_i,s.spectroFlux_r,s.spectroFlux_u,s.spectroFlux_z,s.z,p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..SpecObj as s  JOIN ..PhotoObj AS p ON s.bestObjID = p.objID  WHERE s.z > # AND s.z < # AND s.zWarning = # AND ( p.type = # OR p.type = #) AND (s.primTarget & (dbo.fPrimTarget(&&&) + dbo.fPrimTarget(&&&) + dbo.fPrimTarget(&&&) + dbo.fPrimTarget(&&&)) > #) AND (s.secTarget & (dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&) + dbo.fSecTarget(&&&)) > #) AND (s.boss_target1 & (dbo.fBossTarget1(&&&) + dbo.fBossTarget1(&&&) + dbo.fBossTarget1(&&&) + dbo.fBossTarget1(&&&) + dbo.fBossTarget1(&&&) + dbo.fBossTarget1(&&&)) != #)"
2019-04-03 21:15:00,1
2019-04-03 21:16:00,1
