74,"SELECT TOP # dbo.fIAUFromEq(p.ra,p.dec),p.ra,p.dec,p.modelmag_g,p.modelmag_r,p.modelmag_i FROM Galaxy as p WHERE p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-04-03 00:00:00,8
2019-04-03 00:01:00,11
2019-04-03 00:02:00,3
2019-04-03 00:03:00,12
2019-04-03 00:04:00,5
2019-04-03 00:06:00,7
2019-04-03 00:10:00,1
2019-04-03 00:11:00,2
2019-04-03 00:12:00,5
2019-04-03 00:13:00,2
2019-04-03 00:15:00,3
2019-04-03 00:16:00,13
2019-04-03 00:19:00,1
2019-04-03 00:22:00,1
