172,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-04-03 00:00:00,14
2019-04-03 00:01:00,13
2019-04-03 00:02:00,6
2019-04-03 00:03:00,10
2019-04-03 00:04:00,6
2019-04-03 00:06:00,4
2019-04-03 00:07:00,1
2019-04-03 00:08:00,7
2019-04-03 00:09:00,2
2019-04-03 00:10:00,1
2019-04-03 00:11:00,3
2019-04-03 00:12:00,3
2019-04-03 00:13:00,2
2019-04-03 00:14:00,10
2019-04-03 00:15:00,9
2019-04-03 00:16:00,5
2019-04-03 00:17:00,2
2019-04-03 00:18:00,3
2019-04-03 00:19:00,2
2019-04-03 00:20:00,5
2019-04-03 00:21:00,6
2019-04-03 00:22:00,6
2019-04-03 00:30:00,3
2019-04-03 00:33:00,3
2019-04-03 14:55:00,6
2019-04-03 14:56:00,8
2019-04-03 14:58:00,4
2019-04-03 14:59:00,4
2019-04-03 15:08:00,1
2019-04-03 15:10:00,8
2019-04-03 15:11:00,4
2019-04-03 15:12:00,2
2019-04-03 15:47:00,2
2019-04-03 15:48:00,1
2019-04-03 20:40:00,2
2019-04-03 20:42:00,1
2019-04-03 20:48:00,3
