1456,"SELECT TOP #  G.ra,G.dec,G.modelMag_r,G.modelMagErr_r,G.extinction_r,  pz.z,pz.zErr,  G.modelFlux_u,  G.modelFlux_g,  G.modelFlux_r,  G.modelFlux_i,  G.modelFlux_z,  G.modelFluxIvar_u,G.modelFluxIvar_g,G.modelFluxIvar_r,G.modelFluxIvar_i,G.modelFluxIvar_z,GN.distance  FROM  dbo.fGetNearbyObjEq(#, #, #) AS GN  JOIN Galaxy AS G ON GN.objID = G.objID  JOIN PhotoTag AS pt ON pt.objID = G.objID  JOIN Photoz AS pz ON GN.objID = pz.objID  ORDER by distance"
2019-04-03 03:11:00,15
2019-04-03 03:12:00,25
2019-04-03 03:13:00,23
2019-04-03 03:14:00,22
2019-04-03 03:15:00,4
2019-04-03 03:26:00,9
2019-04-03 03:27:00,27
2019-04-03 03:28:00,24
2019-04-03 03:29:00,28
2019-04-03 03:30:00,23
2019-04-03 03:31:00,25
2019-04-03 03:32:00,24
2019-04-03 03:33:00,25
2019-04-03 03:34:00,40
2019-04-03 03:35:00,56
2019-04-03 03:36:00,43
2019-04-03 03:37:00,56
2019-04-03 03:38:00,52
2019-04-03 03:39:00,52
2019-04-03 03:40:00,32
2019-04-03 03:41:00,26
2019-04-03 03:42:00,18
2019-04-03 04:56:00,19
2019-04-03 04:57:00,26
2019-04-03 04:58:00,27
2019-04-03 04:59:00,28
2019-04-03 05:00:00,26
2019-04-03 05:01:00,25
2019-04-03 05:02:00,26
2019-04-03 05:03:00,23
2019-04-03 05:04:00,22
2019-04-03 05:05:00,26
2019-04-03 05:06:00,26
2019-04-03 05:07:00,25
2019-04-03 05:08:00,26
2019-04-03 05:09:00,25
2019-04-03 05:10:00,27
2019-04-03 05:11:00,19
2019-04-03 07:06:00,9
2019-04-03 07:07:00,12
2019-04-03 07:08:00,15
2019-04-03 07:09:00,13
2019-04-03 07:10:00,8
2019-04-03 07:11:00,12
2019-04-03 07:12:00,14
2019-04-03 07:13:00,9
2019-04-03 07:14:00,15
2019-04-03 07:15:00,10
2019-04-03 07:16:00,14
2019-04-03 07:17:00,11
2019-04-03 07:18:00,13
2019-04-03 07:19:00,13
2019-04-03 07:20:00,7
2019-04-03 07:21:00,16
2019-04-03 07:22:00,10
2019-04-03 07:23:00,10
2019-04-03 07:24:00,12
2019-04-03 07:25:00,11
2019-04-03 07:26:00,6
2019-04-03 07:27:00,11
2019-04-03 07:28:00,20
2019-04-03 07:29:00,13
2019-04-03 07:30:00,16
2019-04-03 07:31:00,11
2019-04-03 07:32:00,20
2019-04-03 07:33:00,17
2019-04-03 07:34:00,13
2019-04-03 07:35:00,11
2019-04-03 07:36:00,14
2019-04-03 07:37:00,3
2019-04-03 07:38:00,3
2019-04-03 07:39:00,11
2019-04-03 07:40:00,8
