39,"SELECT avg(modelMag_g) as gMag_avg, avg(modelMag_r) as rMag_avg FROM PhotoPrimary  WHERE (ra between # and #) and (dec between # and #) and Type = #"
2019-03-07 17:55:00,1
2019-03-07 17:56:00,2
2019-03-07 18:00:00,3
2019-03-07 18:01:00,3
2019-03-07 18:02:00,3
2019-03-07 18:03:00,3
2019-03-07 18:04:00,3
2019-03-07 18:05:00,3
2019-03-07 18:06:00,2
2019-03-07 18:07:00,1
2019-03-07 18:17:00,1
2019-03-07 18:20:00,7
2019-03-07 18:23:00,3
2019-03-07 18:25:00,3
2019-03-07 18:26:00,1
