34,"SELECT TOP # bestobjid, z FROM specobj WHERE class = &&& AND zWarning = # AND z BETWEEN # and #"
2019-03-07 18:46:00,1
2019-03-07 18:55:00,1
2019-03-07 20:03:00,1
2019-03-07 20:04:00,1
2019-03-07 20:08:00,1
2019-03-07 20:12:00,1
2019-03-07 20:13:00,1
2019-03-07 20:14:00,2
2019-03-07 20:15:00,1
2019-03-07 20:18:00,1
2019-03-07 20:19:00,1
2019-03-07 20:20:00,2
2019-03-07 20:21:00,1
2019-03-07 20:22:00,2
2019-03-07 20:23:00,1
2019-03-07 20:24:00,1
2019-03-07 20:25:00,1
2019-03-07 20:26:00,1
2019-03-07 20:27:00,1
2019-03-07 20:28:00,2
2019-03-07 20:30:00,2
2019-03-07 20:31:00,1
2019-03-07 20:32:00,1
2019-03-07 20:33:00,1
2019-03-07 20:36:00,1
2019-03-07 20:37:00,2
2019-03-07 20:40:00,2
