4852,"SELECT DISTINCT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.Z, s.class, s.BestObjID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-07 19:53:00,51
2019-03-07 19:54:00,137
2019-03-07 19:55:00,130
2019-03-07 19:56:00,129
2019-03-07 19:57:00,126
2019-03-07 19:58:00,130
2019-03-07 19:59:00,141
2019-03-07 20:00:00,139
2019-03-07 20:01:00,131
2019-03-07 20:02:00,126
2019-03-07 20:03:00,128
2019-03-07 20:04:00,134
2019-03-07 20:05:00,124
2019-03-07 20:06:00,110
2019-03-07 20:07:00,134
2019-03-07 20:08:00,137
2019-03-07 20:09:00,131
2019-03-07 20:10:00,119
2019-03-07 20:11:00,120
2019-03-07 20:12:00,120
2019-03-07 20:13:00,111
2019-03-07 20:14:00,133
2019-03-07 20:15:00,142
2019-03-07 20:16:00,150
2019-03-07 20:17:00,141
2019-03-07 20:18:00,144
2019-03-07 20:19:00,138
2019-03-07 20:20:00,151
2019-03-07 20:21:00,136
2019-03-07 21:00:00,158
2019-03-07 21:01:00,154
2019-03-07 21:02:00,171
2019-03-07 21:03:00,176
2019-03-07 21:04:00,147
2019-03-07 21:05:00,150
2019-03-07 21:06:00,150
2019-03-07 21:07:00,3
