3,"SELECT Bucket, count(*) AS Count
 FROM (
 SELECT cast(
  (z - (SELECT MIN(z) 
  FROM SpecObj 
  WHERE class = &&& AND zWarning = # and survey = &&&))
  /
  ((
  (SELECT MAX(z) + #
  FROM SpecObj 
  WHERE class = &&& AND zWarning = # and survey = &&&)
  - 
  (SELECT MIN(z) 
  FROM SpecObj 
  WHERE class = &&& AND zWarning = # and survey = &&&)
  ) / #
  )
  AS INT) as Bucket,
  (z - (SELECT MIN(z) 
  FROM SpecObj 
  WHERE class = &&& AND zWarning = # and survey = &&&))
  /
  ((
  (SELECT MAX(z) + #
  FROM SpecObj 
  WHERE class = &&& AND zWarning = # and survey = &&&)
  - 
  (SELECT MIN(z) 
  FROM SpecObj 
  WHERE class = &&& AND zWarning = # and survey = &&&)
  ) / #
  )
  AS Raw
 FROM SpecObj
 WHERE class = &&& AND zWarning = # and survey = &&&
 ) a
 GROUP BY Bucket
 ORDER BY Bucket"
2019-03-07 16:51:00,1
2019-03-07 16:52:00,2
