180,"select P.objID, P.ra, P.dec , P.u, P.g, P.r, P.i, P.z, P.type from PhotoPrimary as P , dbo.fGetNearbyObjEq(#, #, # ) N where P.objID = N.objID"
2019-03-07 10:03:00,1
2019-03-07 10:07:00,3
2019-03-07 10:08:00,5
2019-03-07 10:09:00,4
2019-03-07 10:10:00,5
2019-03-07 10:11:00,4
2019-03-07 10:12:00,5
2019-03-07 10:13:00,4
2019-03-07 10:14:00,4
2019-03-07 10:15:00,4
2019-03-07 10:16:00,5
2019-03-07 10:17:00,2
2019-03-07 10:21:00,1
2019-03-07 10:22:00,4
2019-03-07 10:23:00,4
2019-03-07 10:24:00,4
2019-03-07 10:25:00,3
2019-03-07 10:29:00,1
2019-03-07 10:30:00,4
2019-03-07 10:31:00,4
2019-03-07 10:32:00,4
2019-03-07 10:33:00,4
2019-03-07 10:34:00,2
2019-03-07 10:38:00,2
2019-03-07 10:39:00,4
2019-03-07 10:40:00,4
2019-03-07 10:41:00,5
2019-03-07 10:42:00,4
2019-03-07 10:45:00,3
2019-03-07 10:46:00,4
2019-03-07 10:47:00,5
2019-03-07 10:48:00,5
2019-03-07 10:49:00,4
2019-03-07 10:50:00,4
2019-03-07 10:51:00,5
2019-03-07 10:52:00,4
2019-03-07 10:56:00,4
2019-03-07 10:57:00,4
2019-03-07 10:58:00,3
2019-03-07 11:04:00,2
2019-03-07 11:05:00,3
2019-03-07 11:06:00,3
2019-03-07 13:48:00,4
2019-03-07 13:49:00,5
2019-03-07 13:50:00,4
2019-03-07 13:51:00,5
2019-03-07 13:52:00,4
2019-03-07 13:53:00,4
2019-03-07 13:54:00,1
