33,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-03-07 01:41:00,1
2019-03-07 02:32:00,1
2019-03-07 03:03:00,1
2019-03-07 03:42:00,1
2019-03-07 10:17:00,8
2019-03-07 10:18:00,4
2019-03-07 10:42:00,1
2019-03-07 13:09:00,1
2019-03-07 13:21:00,1
2019-03-07 13:24:00,1
2019-03-07 14:13:00,1
2019-03-07 14:15:00,1
2019-03-07 14:17:00,2
2019-03-07 14:18:00,1
2019-03-07 14:19:00,1
2019-03-07 14:22:00,1
2019-03-07 14:23:00,2
2019-03-07 14:48:00,1
2019-03-07 15:58:00,1
2019-03-07 18:19:00,1
2019-03-07 20:41:00,1
