2295,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class, s.bestObjID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-07 18:32:00,66
2019-03-07 18:33:00,134
2019-03-07 18:34:00,120
2019-03-07 18:35:00,111
2019-03-07 18:36:00,111
2019-03-07 18:37:00,111
2019-03-07 18:38:00,84
2019-03-07 18:39:00,96
2019-03-07 18:40:00,98
2019-03-07 18:41:00,95
2019-03-07 18:42:00,91
2019-03-07 18:43:00,88
2019-03-07 18:44:00,85
2019-03-07 18:45:00,125
2019-03-07 18:46:00,123
2019-03-07 18:47:00,126
2019-03-07 18:48:00,122
2019-03-07 18:49:00,113
2019-03-07 18:50:00,114
2019-03-07 18:51:00,118
2019-03-07 18:52:00,113
2019-03-07 18:53:00,51
