95,select objid from photoprimary where photoprimary.dec between .# and .# and photoprimary.ra between # and #
2019-03-07 05:41:00,5
2019-03-07 07:09:00,2
2019-03-07 10:34:00,1
2019-03-07 10:59:00,9
2019-03-07 15:38:00,1
2019-03-07 15:59:00,9
2019-03-07 16:00:00,8
2019-03-07 16:01:00,2
2019-03-07 16:06:00,7
2019-03-07 16:14:00,1
2019-03-07 16:30:00,1
2019-03-07 16:31:00,1
2019-03-07 16:32:00,1
2019-03-07 18:10:00,2
2019-03-07 23:02:00,2
2019-03-07 23:04:00,3
2019-03-07 23:05:00,4
2019-03-07 23:06:00,9
2019-03-07 23:07:00,4
2019-03-07 23:08:00,8
2019-03-07 23:22:00,5
2019-03-07 23:23:00,2
2019-03-07 23:24:00,2
2019-03-07 23:25:00,1
2019-03-07 23:27:00,4
2019-03-07 23:28:00,1
