424,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-03-07 00:48:00,4
2019-03-07 00:49:00,4
2019-03-07 00:50:00,6
2019-03-07 00:51:00,3
2019-03-07 04:31:00,9
2019-03-07 04:38:00,2
2019-03-07 04:42:00,2
2019-03-07 04:43:00,4
2019-03-07 04:47:00,1
2019-03-07 06:09:00,2
2019-03-07 06:10:00,2
2019-03-07 06:12:00,1
2019-03-07 06:36:00,1
2019-03-07 06:38:00,2
2019-03-07 07:05:00,1
2019-03-07 07:16:00,11
2019-03-07 07:17:00,37
2019-03-07 07:19:00,19
2019-03-07 07:20:00,27
2019-03-07 07:21:00,10
2019-03-07 10:19:00,2
2019-03-07 10:21:00,5
2019-03-07 10:55:00,2
2019-03-07 10:58:00,32
2019-03-07 10:59:00,41
2019-03-07 11:00:00,11
2019-03-07 11:01:00,1
2019-03-07 12:54:00,2
2019-03-07 12:55:00,22
2019-03-07 12:56:00,15
2019-03-07 16:00:00,1
2019-03-07 16:01:00,48
2019-03-07 23:05:00,48
2019-03-07 23:06:00,30
2019-03-07 23:27:00,16
