41,"select count(*) as count from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-07 19:44:00,1
2019-03-07 20:06:00,1
2019-03-07 20:07:00,1
2019-03-07 20:13:00,2
2019-03-07 20:14:00,1
2019-03-07 20:15:00,1
2019-03-07 20:16:00,2
2019-03-07 20:17:00,2
2019-03-07 20:18:00,1
2019-03-07 20:19:00,2
2019-03-07 20:20:00,3
2019-03-07 20:21:00,1
2019-03-07 21:49:00,11
2019-03-07 21:50:00,3
2019-03-07 21:51:00,1
2019-03-07 22:15:00,1
2019-03-07 22:16:00,1
2019-03-07 22:17:00,2
2019-03-07 22:18:00,2
2019-03-07 22:19:00,2
