37,"SELECT  avg(modelMag_g) as gMag_avg, avg(modelMag_r) as rMag_avg FROM PhotoPrimary  WHERE (ra between # and #) and (dec between # and #) and Type = #"
2019-03-07 17:36:00,2
2019-03-07 17:39:00,2
2019-03-07 17:41:00,2
2019-03-07 17:42:00,1
2019-03-07 17:55:00,2
2019-03-07 17:59:00,2
2019-03-07 18:00:00,4
2019-03-07 18:01:00,2
2019-03-07 18:02:00,2
2019-03-07 18:03:00,2
2019-03-07 18:04:00,2
2019-03-07 18:05:00,2
2019-03-07 18:06:00,2
2019-03-07 18:20:00,6
2019-03-07 18:23:00,2
2019-03-07 18:25:00,2
