166,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-03-07 00:27:00,1
2019-03-07 01:02:00,1
2019-03-07 04:26:00,1
2019-03-07 04:27:00,1
2019-03-07 05:17:00,9
2019-03-07 05:54:00,1
2019-03-07 06:08:00,2
2019-03-07 06:12:00,2
2019-03-07 07:27:00,9
2019-03-07 09:05:00,9
2019-03-07 10:58:00,1
2019-03-07 11:59:00,1
2019-03-07 12:44:00,9
2019-03-07 12:58:00,1
2019-03-07 13:10:00,1
2019-03-07 13:57:00,1
2019-03-07 14:37:00,3
2019-03-07 14:38:00,6
2019-03-07 14:58:00,1
2019-03-07 15:58:00,1
2019-03-07 16:14:00,1
2019-03-07 16:15:00,1
2019-03-07 16:16:00,2
2019-03-07 16:17:00,1
2019-03-07 16:18:00,1
2019-03-07 16:19:00,1
2019-03-07 16:20:00,10
2019-03-07 16:21:00,1
2019-03-07 16:22:00,18
2019-03-07 16:23:00,10
2019-03-07 16:24:00,1
2019-03-07 16:35:00,1
2019-03-07 16:45:00,18
2019-03-07 16:46:00,2
2019-03-07 16:47:00,15
2019-03-07 16:48:00,1
2019-03-07 16:50:00,9
2019-03-07 16:58:00,1
2019-03-07 17:25:00,9
2019-03-07 17:57:00,1
2019-03-07 18:58:00,1
