21,select objid from photoobjall where photoobjall.dec between .# and # and photoobjall.ra between # and #
2019-03-07 00:01:00,1
2019-03-07 00:07:00,1
2019-03-07 00:08:00,1
2019-03-07 00:10:00,1
2019-03-07 00:45:00,2
2019-03-07 00:47:00,1
2019-03-07 00:54:00,1
2019-03-07 01:47:00,1
2019-03-07 02:04:00,1
2019-03-07 02:06:00,1
2019-03-07 02:19:00,1
2019-03-07 02:58:00,1
2019-03-07 03:16:00,1
2019-03-07 04:04:00,1
2019-03-07 04:27:00,1
2019-03-07 12:43:00,2
2019-03-07 12:47:00,2
2019-03-07 12:53:00,1
