82,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&& FROM PhotoPrimary  WHERE (ra between # and #) and (dec between # and #)"
2019-03-07 10:57:00,1
2019-03-07 11:19:00,1
2019-03-07 11:26:00,2
2019-03-07 11:27:00,3
2019-03-07 11:28:00,2
2019-03-07 11:35:00,6
2019-03-07 11:39:00,6
2019-03-07 12:01:00,6
2019-03-07 12:02:00,6
2019-03-07 12:04:00,6
2019-03-07 12:13:00,2
2019-03-07 12:14:00,10
2019-03-07 12:15:00,6
2019-03-07 12:23:00,6
2019-03-07 12:31:00,6
2019-03-07 12:32:00,12
2019-03-07 13:12:00,1
