14,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   s.z BETWEEN # AND #  and s.class = &&&"
2019-03-07 21:29:00,1
2019-03-07 21:30:00,1
2019-03-07 21:31:00,2
2019-03-07 21:32:00,1
2019-03-07 21:33:00,4
2019-03-07 21:34:00,2
2019-03-07 21:35:00,1
2019-03-07 21:39:00,1
2019-03-07 21:42:00,1
