95,"SELECT count(*) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type not in (#,#)) then # else # end) as &&&     FROM PhotoPrimary      WHERE (b between # and #)"
2019-03-07 10:14:00,3
2019-03-07 10:15:00,3
2019-03-07 10:16:00,2
2019-03-07 10:17:00,2
2019-03-07 10:18:00,2
2019-03-07 10:19:00,5
2019-03-07 10:33:00,4
2019-03-07 10:34:00,2
2019-03-07 10:35:00,3
2019-03-07 10:36:00,9
2019-03-07 10:39:00,17
2019-03-07 10:40:00,8
2019-03-07 10:41:00,2
2019-03-07 10:42:00,10
2019-03-07 10:43:00,5
2019-03-07 10:44:00,18
