53,SELECT COUNT(*)
2019-03-07 09:37:00,1
2019-03-07 12:24:00,2
2019-03-07 12:25:00,1
2019-03-07 12:29:00,1
2019-03-07 12:30:00,1
2019-03-07 12:43:00,2
2019-03-07 12:45:00,1
2019-03-07 12:47:00,1
2019-03-07 12:57:00,1
2019-03-07 13:00:00,1
2019-03-07 13:03:00,1
2019-03-07 13:05:00,1
2019-03-07 13:11:00,1
2019-03-07 13:13:00,1
2019-03-07 13:14:00,2
2019-03-07 13:15:00,3
2019-03-07 13:16:00,1
2019-03-07 13:18:00,1
2019-03-07 13:34:00,3
2019-03-07 13:35:00,1
2019-03-07 13:37:00,1
2019-03-07 13:39:00,1
2019-03-07 13:40:00,3
2019-03-07 13:41:00,3
2019-03-07 13:42:00,3
2019-03-07 13:43:00,4
2019-03-07 13:44:00,2
2019-03-07 14:11:00,2
2019-03-07 14:12:00,1
2019-03-07 14:13:00,1
2019-03-07 14:14:00,2
2019-03-07 15:50:00,1
2019-03-07 18:02:00,1
2019-03-07 18:03:00,1
