75,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&& FROM PhotoPrimary  WHERE (b between # and #)"
2019-03-07 13:11:00,1
2019-03-07 13:12:00,2
2019-03-07 13:13:00,2
2019-03-07 16:57:00,4
2019-03-07 16:58:00,6
2019-03-07 16:59:00,5
2019-03-07 17:00:00,5
2019-03-07 17:05:00,11
2019-03-07 17:06:00,9
2019-03-07 17:07:00,6
2019-03-07 17:08:00,7
2019-03-07 17:09:00,11
2019-03-07 17:10:00,6
