20,"SELECT TOP # specObjID, bestObjID, z FROM SpecObj WHERE class = &&& AND zWarning = # AND z BETWEEN # AND #"
2019-03-07 18:26:00,1
2019-03-07 18:32:00,1
2019-03-07 19:08:00,1
2019-03-07 20:40:00,1
2019-03-07 20:46:00,2
2019-03-07 20:53:00,1
2019-03-07 21:16:00,1
2019-03-07 21:17:00,1
2019-03-07 21:18:00,1
2019-03-07 21:19:00,1
2019-03-07 21:22:00,1
2019-03-07 21:23:00,1
2019-03-07 21:24:00,2
2019-03-07 21:25:00,1
2019-03-07 21:26:00,2
2019-03-07 21:50:00,1
2019-03-07 22:00:00,1
