11,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND #"
2019-03-07 00:36:00,1
2019-03-07 02:07:00,1
2019-03-07 03:31:00,1
2019-03-07 07:15:00,1
2019-03-07 10:57:00,1
2019-03-07 12:55:00,1
2019-03-07 15:33:00,1
2019-03-07 19:47:00,1
2019-03-07 21:41:00,1
2019-03-07 21:55:00,1
2019-03-07 22:42:00,1
