62873,select objid from photoobj where photoobj.dec between # and # and photoobj.ra between # and #
2019-03-07 07:14:00,1390
2019-03-07 07:15:00,1471
2019-03-07 07:16:00,1198
2019-03-07 07:17:00,974
2019-03-07 07:18:00,1501
2019-03-07 07:19:00,30
2019-03-07 07:21:00,1287
2019-03-07 07:22:00,1379
2019-03-07 07:23:00,870
2019-03-07 07:25:00,2
2019-03-07 07:27:00,6
2019-03-07 10:18:00,741
2019-03-07 10:19:00,1394
2019-03-07 10:20:00,1068
2019-03-07 10:21:00,1175
2019-03-07 10:22:00,594
2019-03-07 10:23:00,1335
2019-03-07 10:24:00,1367
2019-03-07 10:25:00,48
2019-03-07 10:34:00,37
2019-03-07 10:36:00,2
2019-03-07 10:48:00,579
2019-03-07 10:49:00,1378
2019-03-07 10:50:00,1346
2019-03-07 10:51:00,1285
2019-03-07 10:52:00,1361
2019-03-07 10:53:00,1422
2019-03-07 10:54:00,1464
2019-03-07 10:55:00,1174
2019-03-07 10:56:00,1432
2019-03-07 10:57:00,1290
2019-03-07 10:58:00,1030
2019-03-07 10:59:00,786
2019-03-07 11:00:00,1306
2019-03-07 11:01:00,889
2019-03-07 11:02:00,1401
2019-03-07 11:03:00,1395
2019-03-07 11:04:00,1166
2019-03-07 11:05:00,834
2019-03-07 11:06:00,1283
2019-03-07 11:07:00,25
2019-03-07 11:08:00,1145
2019-03-07 11:11:00,1
2019-03-07 12:36:00,57
2019-03-07 12:40:00,913
2019-03-07 12:41:00,270
2019-03-07 12:42:00,9
2019-03-07 12:43:00,9
2019-03-07 12:44:00,13
2019-03-07 12:45:00,14
2019-03-07 12:46:00,11
2019-03-07 12:47:00,3
2019-03-07 12:48:00,10
2019-03-07 12:49:00,11
2019-03-07 12:50:00,21
2019-03-07 12:51:00,9
2019-03-07 12:52:00,9
2019-03-07 12:53:00,17
2019-03-07 12:54:00,13
2019-03-07 12:56:00,2
2019-03-07 12:57:00,7
2019-03-07 12:58:00,6
2019-03-07 12:59:00,2
2019-03-07 13:00:00,1
2019-03-07 13:01:00,2
2019-03-07 13:02:00,1
2019-03-07 13:28:00,186
2019-03-07 13:29:00,1363
2019-03-07 13:30:00,1253
2019-03-07 13:31:00,1296
2019-03-07 13:32:00,647
2019-03-07 13:40:00,53
2019-03-07 13:41:00,860
2019-03-07 13:42:00,303
2019-03-07 14:14:00,11
2019-03-07 14:15:00,5
2019-03-07 14:16:00,2
2019-03-07 15:59:00,35
2019-03-07 16:00:00,26
2019-03-07 16:13:00,16
2019-03-07 16:14:00,42
2019-03-07 16:31:00,14
2019-03-07 16:32:00,14
2019-03-07 20:15:00,28
2019-03-07 20:42:00,9
2019-03-07 23:02:00,27
2019-03-07 23:03:00,9
2019-03-07 23:04:00,194
2019-03-07 23:05:00,13
2019-03-07 23:08:00,2
2019-03-07 23:09:00,64
2019-03-07 23:10:00,2
2019-03-07 23:23:00,1
2019-03-07 23:27:00,15
2019-03-07 23:28:00,12
2019-03-07 23:30:00,3
2019-03-07 23:31:00,1
2019-03-07 23:39:00,1
2019-03-07 23:49:00,2
2019-03-07 23:58:00,1
