496,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.r between # and #
2019-03-07 04:54:00,11
2019-03-07 05:06:00,8
2019-03-07 05:11:00,4
2019-03-07 05:41:00,38
2019-03-07 06:38:00,15
2019-03-07 06:39:00,2
2019-03-07 07:06:00,199
2019-03-07 14:27:00,103
2019-03-07 14:34:00,5
2019-03-07 14:44:00,2
2019-03-07 14:46:00,1
2019-03-07 14:47:00,2
2019-03-07 14:51:00,15
2019-03-07 14:52:00,1
2019-03-07 14:55:00,4
2019-03-07 14:56:00,1
2019-03-07 14:57:00,6
2019-03-07 15:00:00,3
2019-03-07 15:03:00,62
2019-03-07 15:05:00,2
2019-03-07 16:01:00,11
2019-03-07 16:03:00,1
