120,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-07 05:16:00,1
2019-03-07 05:41:00,8
2019-03-07 11:01:00,1
2019-03-07 15:59:00,15
2019-03-07 16:00:00,4
2019-03-07 16:01:00,4
2019-03-07 16:06:00,4
2019-03-07 16:31:00,1
2019-03-07 18:45:00,1
2019-03-07 18:50:00,4
2019-03-07 18:55:00,6
2019-03-07 18:59:00,1
2019-03-07 19:04:00,1
2019-03-07 19:05:00,2
2019-03-07 19:07:00,1
2019-03-07 19:08:00,6
2019-03-07 19:09:00,1
2019-03-07 19:18:00,1
2019-03-07 19:44:00,1
2019-03-07 19:58:00,3
2019-03-07 20:43:00,1
2019-03-07 23:02:00,1
2019-03-07 23:04:00,6
2019-03-07 23:07:00,1
2019-03-07 23:08:00,4
2019-03-07 23:09:00,1
2019-03-07 23:22:00,8
2019-03-07 23:23:00,2
2019-03-07 23:24:00,16
2019-03-07 23:27:00,14
