192,"SELECT ra, dec, mjd, modelMag_g, modelMagErr_g, modelMag_r, modelMagErr_r, modelMag_i, modelMagErr_i FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-03-07 14:43:00,89
2019-03-07 14:44:00,103
