805,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-06-23 19:06:00,1
2019-06-23 19:27:00,13
2019-06-23 19:28:00,10
2019-06-23 19:29:00,9
2019-06-23 19:30:00,8
2019-06-23 19:31:00,8
2019-06-23 19:32:00,12
2019-06-23 19:33:00,9
2019-06-23 19:34:00,10
2019-06-23 19:35:00,11
2019-06-23 19:36:00,7
2019-06-23 19:37:00,8
2019-06-23 19:38:00,9
2019-06-23 19:39:00,9
2019-06-23 19:40:00,8
2019-06-23 19:41:00,12
2019-06-23 19:42:00,12
2019-06-23 19:43:00,7
2019-06-23 19:45:00,1
2019-06-23 19:47:00,1
2019-06-23 19:51:00,3
2019-06-23 19:53:00,2
2019-06-23 19:54:00,2
2019-06-23 19:55:00,2
2019-06-23 19:56:00,1
2019-06-23 19:57:00,3
2019-06-23 19:58:00,2
2019-06-23 19:59:00,2
2019-06-23 20:00:00,3
2019-06-23 20:01:00,2
2019-06-23 20:07:00,2
2019-06-23 20:08:00,3
2019-06-23 20:10:00,2
2019-06-23 20:12:00,4
2019-06-23 20:16:00,2
2019-06-23 20:17:00,1
2019-06-23 20:18:00,2
2019-06-23 20:21:00,1
2019-06-23 20:22:00,2
2019-06-23 20:23:00,6
2019-06-23 20:24:00,1
2019-06-23 20:26:00,1
2019-06-23 20:57:00,6
2019-06-23 20:58:00,7
2019-06-23 20:59:00,8
2019-06-23 21:00:00,5
2019-06-23 21:01:00,6
2019-06-23 21:02:00,6
2019-06-23 21:03:00,6
2019-06-23 21:04:00,6
2019-06-23 21:05:00,5
2019-06-23 21:06:00,7
2019-06-23 21:07:00,5
2019-06-23 21:08:00,6
2019-06-23 21:09:00,5
2019-06-23 21:10:00,7
2019-06-23 21:11:00,6
2019-06-23 21:12:00,6
2019-06-23 21:13:00,4
2019-06-23 21:14:00,4
2019-06-23 21:15:00,5
2019-06-23 21:16:00,6
2019-06-23 21:17:00,7
2019-06-23 21:18:00,4
2019-06-23 21:19:00,5
2019-06-23 21:20:00,7
2019-06-23 21:21:00,6
2019-06-23 21:22:00,5
2019-06-23 21:23:00,7
2019-06-23 21:24:00,3
2019-06-23 21:25:00,4
2019-06-23 21:26:00,6
2019-06-23 21:27:00,2
2019-06-23 21:28:00,5
2019-06-23 21:29:00,8
2019-06-23 21:30:00,7
2019-06-23 21:31:00,7
2019-06-23 21:32:00,6
2019-06-23 21:33:00,6
2019-06-23 21:34:00,4
2019-06-23 21:35:00,6
2019-06-23 21:36:00,7
2019-06-23 21:37:00,4
2019-06-23 21:38:00,8
2019-06-23 21:39:00,7
2019-06-23 21:40:00,8
2019-06-23 21:41:00,5
2019-06-23 21:42:00,9
2019-06-23 21:43:00,9
2019-06-23 21:44:00,8
2019-06-23 21:45:00,11
2019-06-23 21:46:00,11
2019-06-23 21:47:00,10
2019-06-23 21:48:00,8
2019-06-23 21:49:00,8
2019-06-23 21:50:00,7
2019-06-23 21:51:00,6
2019-06-23 21:52:00,8
2019-06-23 21:53:00,6
2019-06-23 21:54:00,8
2019-06-23 21:55:00,8
2019-06-23 21:56:00,7
2019-06-23 21:57:00,6
2019-06-23 21:58:00,7
2019-06-23 21:59:00,3
2019-06-23 22:00:00,5
2019-06-23 22:01:00,6
2019-06-23 22:02:00,6
2019-06-23 22:03:00,5
2019-06-23 22:04:00,5
2019-06-23 22:05:00,8
2019-06-23 22:06:00,7
2019-06-23 22:07:00,7
2019-06-23 22:08:00,8
2019-06-23 22:09:00,8
2019-06-23 22:10:00,5
2019-06-23 22:11:00,9
2019-06-23 22:12:00,8
2019-06-23 22:13:00,7
2019-06-23 22:14:00,7
2019-06-23 22:15:00,5
2019-06-23 22:16:00,6
2019-06-23 22:17:00,6
2019-06-23 22:18:00,7
2019-06-23 22:19:00,7
2019-06-23 22:20:00,8
2019-06-23 22:21:00,5
2019-06-23 22:22:00,6
2019-06-23 22:23:00,9
2019-06-23 22:24:00,6
2019-06-23 22:25:00,5
2019-06-23 22:26:00,6
2019-06-23 22:27:00,2
2019-06-23 22:30:00,2
2019-06-23 22:32:00,1
2019-06-23 22:33:00,2
2019-06-23 22:35:00,1
2019-06-23 22:38:00,2
2019-06-23 22:41:00,1
2019-06-23 22:42:00,1
2019-06-23 22:45:00,1
2019-06-23 22:46:00,1
