19,"select pa.objID, pa.ra, pa.dec, pa.flags,    pa.dered_u, pa.modelMag_u, pa.modelMagErr_u, pa.flags_u,    pa.dered_g, pa.modelMag_g, pa.modelMagErr_g, pa.flags_g,    pa.dered_r, pa.modelMag_r, pa.modelMagErr_r, pa.flags_r,    pa.dered_i, pa.modelMag_i, pa.modelMagErr_i, pa.flags_i,    pa.dered_z, pa.modelMag_z, pa.modelMagErr_z, pa.flags_z  into mydb.S8#PhotoObj_#B from PhotoObjAll as pa  WHERE (pa.dec between #. and #)   and (pa.ra between # and #)"
2019-06-23 11:02:00,1
2019-06-23 11:04:00,1
2019-06-23 11:10:00,1
2019-06-23 11:13:00,1
2019-06-23 11:16:00,1
2019-06-23 11:19:00,1
2019-06-23 11:22:00,1
2019-06-23 11:25:00,1
2019-06-23 11:29:00,1
2019-06-23 11:34:00,1
2019-06-23 11:37:00,1
2019-06-23 11:41:00,1
2019-06-23 11:44:00,1
2019-06-23 11:46:00,1
2019-06-23 11:50:00,1
2019-06-23 11:54:00,1
2019-06-23 11:58:00,1
2019-06-23 12:03:00,1
2019-06-23 12:06:00,1
