16,"select pa.objID, pa.ra, pa.dec, pa.flags,   pa.dered_u, pa.modelMag_u, pa.modelMagErr_u, pa.flags_u,   pa.dered_g, pa.modelMag_g, pa.modelMagErr_g, pa.flags_g,   pa.dered_r, pa.modelMag_r, pa.modelMagErr_r, pa.flags_r,   pa.dered_i, pa.modelMag_i, pa.modelMagErr_i, pa.flags_i,   pa.dered_z, pa.modelMag_z, pa.modelMagErr_z, pa.flags_z  into mydb.S8#PhotoObj_#B from PhotoObjAll as pa  WHERE (pa.dec between #. and #)   and (pa.ra between # and #)"
2019-06-23 12:12:00,1
2019-06-23 12:15:00,1
2019-06-23 12:21:00,1
2019-06-23 12:24:00,1
2019-06-23 12:27:00,1
2019-06-23 12:30:00,1
2019-06-23 12:34:00,1
2019-06-23 12:37:00,1
2019-06-23 12:41:00,1
2019-06-23 12:45:00,1
2019-06-23 12:48:00,1
2019-06-23 12:51:00,1
2019-06-23 12:54:00,1
2019-06-23 12:58:00,1
2019-06-23 13:01:00,1
2019-06-23 13:05:00,1
