78,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.r BETWEEN # AND #"
2019-06-23 14:45:00,1
2019-06-23 14:47:00,1
2019-06-23 14:48:00,1
2019-06-23 14:56:00,1
2019-06-23 15:11:00,1
2019-06-23 15:16:00,1
2019-06-23 15:30:00,2
2019-06-23 15:32:00,1
2019-06-23 15:56:00,2
2019-06-23 15:58:00,2
2019-06-23 16:00:00,4
2019-06-23 16:01:00,4
2019-06-23 16:02:00,2
2019-06-23 16:03:00,2
2019-06-23 16:06:00,1
2019-06-23 16:07:00,2
2019-06-23 16:35:00,1
2019-06-23 16:36:00,4
2019-06-23 16:37:00,3
2019-06-23 16:42:00,1
2019-06-23 16:43:00,2
2019-06-23 16:44:00,6
2019-06-23 16:45:00,4
2019-06-23 16:46:00,3
2019-06-23 16:48:00,2
2019-06-23 16:49:00,1
2019-06-23 16:53:00,6
2019-06-23 16:54:00,2
2019-06-23 16:55:00,3
2019-06-23 16:56:00,2
2019-06-23 16:57:00,5
2019-06-23 16:58:00,5
