200,select * from XCRedshift where specObjId=#
2019-06-23 00:02:00,1
2019-06-23 00:32:00,1
2019-06-23 00:46:00,1
2019-06-23 01:02:00,1
2019-06-23 01:04:00,1
2019-06-23 01:08:00,2
2019-06-23 01:24:00,1
2019-06-23 01:25:00,1
2019-06-23 01:27:00,1
2019-06-23 01:28:00,1
2019-06-23 01:29:00,1
2019-06-23 01:36:00,1
2019-06-23 02:10:00,1
2019-06-23 02:12:00,1
2019-06-23 02:15:00,1
2019-06-23 02:18:00,1
2019-06-23 02:50:00,1
2019-06-23 02:51:00,1
2019-06-23 02:52:00,1
2019-06-23 02:53:00,1
2019-06-23 02:54:00,3
2019-06-23 02:55:00,1
2019-06-23 03:00:00,1
2019-06-23 03:01:00,1
2019-06-23 03:03:00,1
2019-06-23 03:04:00,1
2019-06-23 03:09:00,1
2019-06-23 03:12:00,1
2019-06-23 03:48:00,1
2019-06-23 03:51:00,1
2019-06-23 03:55:00,2
2019-06-23 04:18:00,1
2019-06-23 04:19:00,1
2019-06-23 04:54:00,1
2019-06-23 04:57:00,1
2019-06-23 05:34:00,1
2019-06-23 05:36:00,1
2019-06-23 05:37:00,1
2019-06-23 05:40:00,2
2019-06-23 05:41:00,3
2019-06-23 05:42:00,1
2019-06-23 05:47:00,1
2019-06-23 05:48:00,1
2019-06-23 05:51:00,1
2019-06-23 05:54:00,1
2019-06-23 05:55:00,1
2019-06-23 05:58:00,1
2019-06-23 06:06:00,1
2019-06-23 06:19:00,1
2019-06-23 06:21:00,1
2019-06-23 06:24:00,1
2019-06-23 06:25:00,3
2019-06-23 06:30:00,1
2019-06-23 06:32:00,1
2019-06-23 06:35:00,1
2019-06-23 06:41:00,1
2019-06-23 07:02:00,1
2019-06-23 07:05:00,1
2019-06-23 07:55:00,1
2019-06-23 07:56:00,3
2019-06-23 07:58:00,1
2019-06-23 08:00:00,2
2019-06-23 08:04:00,2
2019-06-23 08:08:00,1
2019-06-23 08:09:00,1
2019-06-23 08:12:00,1
2019-06-23 08:17:00,1
2019-06-23 08:35:00,1
2019-06-23 09:05:00,3
2019-06-23 09:06:00,1
2019-06-23 09:07:00,1
2019-06-23 09:09:00,1
2019-06-23 09:19:00,1
2019-06-23 10:20:00,2
2019-06-23 10:22:00,4
2019-06-23 10:23:00,2
2019-06-23 10:25:00,1
2019-06-23 10:33:00,1
2019-06-23 10:50:00,1
2019-06-23 10:55:00,1
2019-06-23 10:56:00,1
2019-06-23 10:57:00,1
2019-06-23 11:18:00,1
2019-06-23 11:19:00,1
2019-06-23 11:20:00,1
2019-06-23 11:21:00,1
2019-06-23 11:24:00,3
2019-06-23 11:25:00,1
2019-06-23 11:26:00,3
2019-06-23 11:27:00,1
2019-06-23 11:31:00,1
2019-06-23 11:34:00,1
2019-06-23 11:36:00,1
2019-06-23 11:37:00,1
2019-06-23 11:43:00,1
2019-06-23 11:49:00,1
2019-06-23 12:13:00,1
2019-06-23 12:15:00,2
2019-06-23 12:17:00,1
2019-06-23 12:19:00,1
2019-06-23 12:20:00,1
2019-06-23 12:21:00,1
2019-06-23 12:25:00,2
2019-06-23 12:26:00,1
2019-06-23 12:38:00,1
2019-06-23 12:40:00,1
2019-06-23 12:43:00,1
2019-06-23 13:04:00,1
2019-06-23 13:06:00,1
2019-06-23 13:07:00,1
2019-06-23 13:15:00,1
2019-06-23 13:16:00,1
2019-06-23 13:17:00,1
2019-06-23 13:19:00,1
2019-06-23 13:21:00,1
2019-06-23 13:22:00,1
2019-06-23 13:23:00,1
2019-06-23 13:24:00,1
2019-06-23 13:40:00,1
2019-06-23 13:41:00,2
2019-06-23 13:42:00,1
2019-06-23 13:43:00,1
2019-06-23 13:44:00,1
2019-06-23 13:46:00,1
2019-06-23 13:52:00,1
2019-06-23 13:55:00,1
2019-06-23 13:57:00,1
2019-06-23 14:04:00,1
2019-06-23 14:37:00,1
2019-06-23 14:42:00,1
2019-06-23 15:09:00,1
2019-06-23 15:10:00,1
2019-06-23 15:11:00,1
2019-06-23 17:16:00,1
2019-06-23 18:54:00,1
2019-06-23 20:10:00,1
2019-06-23 20:11:00,1
2019-06-23 20:18:00,1
2019-06-23 20:39:00,1
2019-06-23 20:59:00,1
2019-06-23 21:02:00,1
2019-06-23 21:05:00,1
2019-06-23 21:08:00,1
2019-06-23 21:13:00,1
2019-06-23 21:15:00,2
2019-06-23 21:27:00,1
2019-06-23 21:34:00,4
2019-06-23 21:41:00,1
2019-06-23 21:43:00,2
2019-06-23 21:46:00,1
2019-06-23 21:53:00,1
2019-06-23 21:54:00,2
2019-06-23 21:55:00,1
2019-06-23 21:56:00,1
2019-06-23 21:59:00,1
2019-06-23 22:00:00,1
2019-06-23 22:29:00,1
2019-06-23 22:34:00,1
2019-06-23 23:14:00,1
2019-06-23 23:15:00,1
2019-06-23 23:22:00,1
2019-06-23 23:23:00,1
2019-06-23 23:27:00,1
2019-06-23 23:47:00,1
2019-06-23 23:50:00,1
2019-06-23 23:54:00,1
2019-06-23 23:57:00,1
