132,select objid from photoobjall where photoobjall.dec between -.# and -.# and photoobjall.ra between # and #
2019-03-05 05:45:00,2
2019-03-05 06:27:00,1
2019-03-05 08:52:00,2
2019-03-05 09:25:00,1
2019-03-05 09:33:00,11
2019-03-05 09:34:00,1
2019-03-05 10:49:00,3
2019-03-05 11:04:00,1
2019-03-05 11:05:00,1
2019-03-05 11:13:00,1
2019-03-05 11:14:00,1
2019-03-05 16:46:00,3
2019-03-05 17:40:00,1
2019-03-05 18:05:00,3
2019-03-05 18:06:00,8
2019-03-05 18:07:00,5
2019-03-05 18:08:00,4
2019-03-05 18:21:00,1
2019-03-05 18:22:00,7
2019-03-05 18:23:00,9
2019-03-05 18:24:00,1
2019-03-05 18:25:00,3
2019-03-05 18:27:00,2
2019-03-05 18:28:00,32
2019-03-05 18:29:00,12
2019-03-05 18:30:00,5
2019-03-05 18:31:00,10
2019-03-05 20:06:00,1
