123,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),p.z,p.specobjid,p.specClass FROM SpecPhotoAll as p WHERE p.ra<# and p.ra># and p.dec># and p.dec<# and (p.specClass=# or p.specClass=#) order by p.modelmag_r"
2019-03-05 19:29:00,1
2019-03-05 19:32:00,2
2019-03-05 19:36:00,2
2019-03-05 19:38:00,4
2019-03-05 19:39:00,3
2019-03-05 19:40:00,3
2019-03-05 19:41:00,5
2019-03-05 19:42:00,8
2019-03-05 19:43:00,3
2019-03-05 19:44:00,6
2019-03-05 19:45:00,4
2019-03-05 19:46:00,5
2019-03-05 19:47:00,10
2019-03-05 19:48:00,2
2019-03-05 19:49:00,4
2019-03-05 19:50:00,7
2019-03-05 19:51:00,5
2019-03-05 19:52:00,3
2019-03-05 19:53:00,4
2019-03-05 19:54:00,6
2019-03-05 19:55:00,1
2019-03-05 19:56:00,6
2019-03-05 19:57:00,3
2019-03-05 19:58:00,2
2019-03-05 19:59:00,2
2019-03-05 20:00:00,3
2019-03-05 20:01:00,4
2019-03-05 20:02:00,4
2019-03-05 20:03:00,3
2019-03-05 20:04:00,3
2019-03-05 20:06:00,1
2019-03-05 20:11:00,1
2019-03-05 20:15:00,1
2019-03-05 20:16:00,1
2019-03-05 20:18:00,1
