41,select apstar_id from apogeestar where apogeestar.dec between .# and .# and apogeestar.ra between # and #
2019-03-05 05:45:00,1
2019-03-05 09:25:00,2
2019-03-05 09:33:00,1
2019-03-05 14:39:00,2
2019-03-05 17:42:00,1
2019-03-05 18:05:00,1
2019-03-05 18:06:00,1
2019-03-05 18:07:00,1
2019-03-05 18:08:00,1
2019-03-05 18:13:00,1
2019-03-05 18:23:00,9
2019-03-05 18:25:00,1
2019-03-05 18:27:00,3
2019-03-05 18:28:00,1
2019-03-05 18:30:00,2
2019-03-05 18:31:00,1
2019-03-05 20:05:00,4
2019-03-05 20:06:00,5
2019-03-05 21:12:00,3
