14,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&& FROM PhotoPrimary  WHERE (ra between # and #) and (dec between # and #)"
2019-03-05 01:07:00,2
2019-03-05 10:14:00,1
2019-03-05 13:11:00,1
2019-03-05 17:01:00,1
2019-03-05 17:02:00,1
2019-03-05 17:05:00,1
2019-03-05 17:08:00,1
2019-03-05 17:18:00,2
2019-03-05 17:19:00,3
2019-03-05 17:20:00,1
