978,"select ra,dec, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-03-05 16:11:00,7
2019-03-05 16:12:00,26
2019-03-05 16:13:00,16
2019-03-05 16:14:00,10
2019-03-05 16:15:00,13
2019-03-05 16:16:00,14
2019-03-05 16:17:00,23
2019-03-05 16:18:00,16
2019-03-05 16:19:00,21
2019-03-05 16:20:00,18
2019-03-05 16:21:00,18
2019-03-05 16:22:00,21
2019-03-05 16:23:00,18
2019-03-05 16:24:00,14
2019-03-05 16:25:00,19
2019-03-05 16:26:00,18
2019-03-05 16:27:00,16
2019-03-05 16:28:00,21
2019-03-05 16:29:00,15
2019-03-05 16:30:00,18
2019-03-05 16:31:00,24
2019-03-05 16:32:00,16
2019-03-05 16:33:00,15
2019-03-05 16:34:00,17
2019-03-05 16:35:00,15
2019-03-05 16:36:00,13
2019-03-05 16:37:00,14
2019-03-05 16:38:00,18
2019-03-05 16:39:00,14
2019-03-05 16:40:00,14
2019-03-05 16:41:00,13
2019-03-05 16:42:00,12
2019-03-05 16:43:00,11
2019-03-05 16:44:00,11
2019-03-05 16:45:00,10
2019-03-05 16:46:00,25
2019-03-05 16:47:00,46
2019-03-05 16:48:00,50
2019-03-05 16:49:00,48
2019-03-05 16:50:00,47
2019-03-05 16:51:00,49
2019-03-05 16:52:00,43
2019-03-05 16:53:00,40
2019-03-05 16:54:00,41
2019-03-05 16:55:00,30
