6782,"SELECT ra, dec, mjd, modelMag_g, modelMagErr_g, modelMag_r, modelMagErr_r, modelMag_i, modelMagErr_i FROM PhotoPrimary WHERE (ra between # and #) and (dec between # and #)"
2019-03-05 09:34:00,1
2019-03-05 09:35:00,114
2019-03-05 09:36:00,86
2019-03-05 09:38:00,5
2019-03-05 09:39:00,144
2019-03-05 09:40:00,51
2019-03-05 09:41:00,13
2019-03-05 10:05:00,103
2019-03-05 10:06:00,91
2019-03-05 10:08:00,122
2019-03-05 10:09:00,78
2019-03-05 11:24:00,102
2019-03-05 11:25:00,142
2019-03-05 11:26:00,147
2019-03-05 11:27:00,147
2019-03-05 11:28:00,147
2019-03-05 11:29:00,141
2019-03-05 11:30:00,143
2019-03-05 11:31:00,133
2019-03-05 11:32:00,136
2019-03-05 11:33:00,127
2019-03-05 11:34:00,127
2019-03-05 11:35:00,127
2019-03-05 11:36:00,131
2019-03-05 11:37:00,134
2019-03-05 11:38:00,135
2019-03-05 11:39:00,130
2019-03-05 11:40:00,146
2019-03-05 11:41:00,134
2019-03-05 11:42:00,131
2019-03-05 11:43:00,144
2019-03-05 11:44:00,142
2019-03-05 11:45:00,143
2019-03-05 11:46:00,139
2019-03-05 11:47:00,143
2019-03-05 11:48:00,148
2019-03-05 11:49:00,151
2019-03-05 11:50:00,159
2019-03-05 11:51:00,151
2019-03-05 11:52:00,159
2019-03-05 11:53:00,148
2019-03-05 11:54:00,151
2019-03-05 11:55:00,155
2019-03-05 11:56:00,145
2019-03-05 11:57:00,163
2019-03-05 11:58:00,153
2019-03-05 11:59:00,156
2019-03-05 12:00:00,157
2019-03-05 12:01:00,156
2019-03-05 12:02:00,155
2019-03-05 12:03:00,140
2019-03-05 12:04:00,153
2019-03-05 12:05:00,103
