45,select apstar_id from apogeestar where apogeestar.dec between -.# and -.# and apogeestar.ra between # and #
2019-03-05 05:34:00,1
2019-03-05 05:41:00,1
2019-03-05 05:43:00,1
2019-03-05 05:45:00,2
2019-03-05 06:27:00,1
2019-03-05 07:47:00,1
2019-03-05 10:02:00,3
2019-03-05 11:08:00,1
2019-03-05 18:05:00,4
2019-03-05 18:07:00,1
2019-03-05 18:21:00,1
2019-03-05 18:22:00,1
2019-03-05 18:23:00,3
2019-03-05 18:24:00,4
2019-03-05 18:26:00,3
2019-03-05 18:27:00,3
2019-03-05 18:29:00,2
2019-03-05 18:30:00,1
2019-03-05 18:31:00,7
2019-03-05 20:05:00,1
2019-03-05 20:06:00,2
2019-03-05 21:12:00,1
