2049,"SELECT DISTINCT p.ra, p.dec FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-05 18:13:00,138
2019-03-05 18:14:00,211
2019-03-05 18:15:00,99
2019-03-05 18:17:00,1
2019-03-05 18:18:00,150
2019-03-05 18:20:00,15
2019-03-05 18:21:00,81
2019-03-05 18:22:00,27
2019-03-05 18:23:00,33
2019-03-05 18:58:00,164
2019-03-05 18:59:00,221
2019-03-05 19:00:00,219
2019-03-05 19:01:00,216
2019-03-05 19:02:00,215
2019-03-05 19:03:00,218
2019-03-05 19:04:00,41
