1858,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-05 02:35:00,1
2019-03-05 02:38:00,3
2019-03-05 02:51:00,1
2019-03-05 03:10:00,3
2019-03-05 06:06:00,7
2019-03-05 06:07:00,1
2019-03-05 06:09:00,2
2019-03-05 06:51:00,1
2019-03-05 07:40:00,2
2019-03-05 07:41:00,1
2019-03-05 07:42:00,1
2019-03-05 07:43:00,92
2019-03-05 07:44:00,66
2019-03-05 07:45:00,8
2019-03-05 07:46:00,64
2019-03-05 07:47:00,5
2019-03-05 07:55:00,34
2019-03-05 07:56:00,84
2019-03-05 07:57:00,32
2019-03-05 07:58:00,148
2019-03-05 07:59:00,28
2019-03-05 08:21:00,18
2019-03-05 08:23:00,16
2019-03-05 08:40:00,17
2019-03-05 08:48:00,1
2019-03-05 08:49:00,1
2019-03-05 08:50:00,19
2019-03-05 08:51:00,106
2019-03-05 08:52:00,16
2019-03-05 08:53:00,6
2019-03-05 09:03:00,6
2019-03-05 09:18:00,5
2019-03-05 09:19:00,1
2019-03-05 09:24:00,1
2019-03-05 10:02:00,88
2019-03-05 10:03:00,50
2019-03-05 10:04:00,46
2019-03-05 10:08:00,19
2019-03-05 10:09:00,124
2019-03-05 10:10:00,45
2019-03-05 11:08:00,3
2019-03-05 11:17:00,3
2019-03-05 11:43:00,2
2019-03-05 11:45:00,1
2019-03-05 11:55:00,15
2019-03-05 11:57:00,143
2019-03-05 12:04:00,15
2019-03-05 12:12:00,1
2019-03-05 16:21:00,5
2019-03-05 16:24:00,18
2019-03-05 17:09:00,5
2019-03-05 17:11:00,1
2019-03-05 17:13:00,2
2019-03-05 17:19:00,362
2019-03-05 17:20:00,3
2019-03-05 17:21:00,1
2019-03-05 17:39:00,60
2019-03-05 17:40:00,32
2019-03-05 17:42:00,16
2019-03-05 23:26:00,1
