431,select top # * from computemessages
2019-03-05 12:13:00,1
2019-03-05 12:14:00,5
2019-03-05 12:15:00,5
2019-03-05 12:16:00,5
2019-03-05 12:17:00,6
2019-03-05 12:18:00,2
2019-03-05 12:19:00,3
2019-03-05 12:20:00,2
2019-03-05 12:21:00,2
2019-03-05 12:22:00,4
2019-03-05 12:23:00,5
2019-03-05 12:24:00,4
2019-03-05 12:25:00,2
2019-03-05 12:27:00,5
2019-03-05 12:28:00,3
2019-03-05 12:29:00,5
2019-03-05 12:30:00,4
2019-03-05 12:31:00,5
2019-03-05 12:32:00,5
2019-03-05 12:33:00,4
2019-03-05 12:34:00,6
2019-03-05 12:35:00,2
2019-03-05 12:36:00,7
2019-03-05 12:37:00,4
2019-03-05 12:38:00,5
2019-03-05 12:39:00,8
2019-03-05 12:40:00,5
2019-03-05 12:41:00,5
2019-03-05 12:42:00,3
2019-03-05 12:43:00,2
2019-03-05 12:44:00,2
2019-03-05 12:45:00,2
2019-03-05 12:46:00,3
2019-03-05 12:47:00,4
2019-03-05 12:48:00,5
2019-03-05 12:49:00,3
2019-03-05 12:50:00,3
2019-03-05 12:51:00,3
2019-03-05 12:53:00,1
2019-03-05 12:54:00,2
2019-03-05 12:55:00,2
2019-03-05 12:56:00,3
2019-03-05 12:57:00,2
2019-03-05 12:59:00,3
2019-03-05 13:00:00,2
2019-03-05 13:01:00,2
2019-03-05 13:02:00,3
2019-03-05 13:03:00,3
2019-03-05 13:04:00,4
2019-03-05 13:05:00,1
2019-03-05 13:06:00,1
2019-03-05 13:07:00,4
2019-03-05 13:08:00,2
2019-03-05 13:09:00,3
2019-03-05 13:10:00,4
2019-03-05 13:11:00,1
2019-03-05 13:12:00,2
2019-03-05 13:13:00,1
2019-03-05 13:14:00,2
2019-03-05 13:15:00,1
2019-03-05 13:16:00,4
2019-03-05 13:17:00,2
2019-03-05 13:18:00,3
2019-03-05 13:19:00,5
2019-03-05 13:20:00,1
2019-03-05 13:21:00,2
2019-03-05 13:22:00,7
2019-03-05 13:23:00,4
2019-03-05 13:24:00,7
2019-03-05 13:25:00,1
2019-03-05 13:26:00,4
2019-03-05 13:27:00,3
2019-03-05 13:29:00,1
2019-03-05 13:30:00,3
2019-03-05 13:31:00,2
2019-03-05 13:32:00,3
2019-03-05 16:19:00,1
2019-03-05 16:20:00,1
2019-03-05 16:21:00,4
2019-03-05 16:22:00,1
2019-03-05 16:23:00,6
2019-03-05 16:24:00,2
2019-03-05 16:25:00,4
2019-03-05 16:26:00,6
2019-03-05 16:27:00,6
2019-03-05 16:28:00,3
2019-03-05 16:29:00,4
2019-03-05 16:30:00,3
2019-03-05 16:31:00,7
2019-03-05 16:32:00,3
2019-03-05 16:33:00,2
2019-03-05 16:34:00,3
2019-03-05 16:35:00,3
2019-03-05 16:36:00,1
2019-03-05 16:37:00,2
2019-03-05 16:38:00,3
2019-03-05 16:39:00,5
2019-03-05 16:40:00,2
2019-03-05 16:41:00,3
2019-03-05 16:42:00,1
2019-03-05 16:43:00,1
2019-03-05 16:44:00,3
2019-03-05 16:45:00,5
2019-03-05 16:46:00,6
2019-03-05 16:47:00,2
2019-03-05 16:48:00,3
2019-03-05 16:49:00,2
2019-03-05 16:51:00,2
2019-03-05 16:52:00,2
2019-03-05 16:53:00,1
2019-03-05 16:54:00,3
2019-03-05 16:55:00,2
2019-03-05 16:57:00,1
2019-03-05 16:58:00,4
2019-03-05 16:59:00,4
2019-03-05 17:00:00,2
2019-03-05 17:01:00,2
2019-03-05 17:02:00,4
2019-03-05 17:03:00,4
2019-03-05 17:04:00,3
2019-03-05 17:05:00,3
2019-03-05 17:06:00,1
2019-03-05 17:07:00,2
2019-03-05 17:08:00,1
2019-03-05 17:09:00,6
2019-03-05 17:10:00,3
2019-03-05 17:11:00,5
2019-03-05 17:12:00,3
2019-03-05 17:13:00,3
2019-03-05 17:14:00,3
2019-03-05 17:15:00,2
2019-03-05 17:16:00,4
2019-03-05 17:17:00,3
2019-03-05 17:18:00,2
2019-03-05 17:19:00,3
2019-03-05 17:20:00,1
2019-03-05 17:21:00,2
2019-03-05 17:23:00,2
