659,select objid from photoprimary where photoprimary.dec between .# and .# and photoprimary.ra between # and #
2019-03-05 02:34:00,5
2019-03-05 02:35:00,4
2019-03-05 02:36:00,1
2019-03-05 02:38:00,19
2019-03-05 04:25:00,2
2019-03-05 06:09:00,4
2019-03-05 06:18:00,1
2019-03-05 06:48:00,1
2019-03-05 07:43:00,12
2019-03-05 07:58:00,27
2019-03-05 07:59:00,5
2019-03-05 08:14:00,16
2019-03-05 08:21:00,13
2019-03-05 08:23:00,9
2019-03-05 08:36:00,2
2019-03-05 08:40:00,16
2019-03-05 08:51:00,6
2019-03-05 08:52:00,116
2019-03-05 08:53:00,25
2019-03-05 09:03:00,2
2019-03-05 10:03:00,23
2019-03-05 10:04:00,17
2019-03-05 10:10:00,7
2019-03-05 10:11:00,2
2019-03-05 10:12:00,21
2019-03-05 11:17:00,7
2019-03-05 11:43:00,2
2019-03-05 11:45:00,3
2019-03-05 11:55:00,12
2019-03-05 11:57:00,12
2019-03-05 12:04:00,5
2019-03-05 12:20:00,8
2019-03-05 12:22:00,5
2019-03-05 16:22:00,7
2019-03-05 16:24:00,51
2019-03-05 16:35:00,1
2019-03-05 16:46:00,3
2019-03-05 16:47:00,78
2019-03-05 16:48:00,49
2019-03-05 16:49:00,3
2019-03-05 16:51:00,1
2019-03-05 17:09:00,5
2019-03-05 17:19:00,2
2019-03-05 17:20:00,2
2019-03-05 17:23:00,4
2019-03-05 17:28:00,1
2019-03-05 17:44:00,4
2019-03-05 17:45:00,15
2019-03-05 18:02:00,9
2019-03-05 18:03:00,1
2019-03-05 18:05:00,4
2019-03-05 18:06:00,1
2019-03-05 18:07:00,1
2019-03-05 18:22:00,4
2019-03-05 18:27:00,3
