120,select photoprimary.objid from photoprimary inner join galaxy on galaxy.objid = photoprimary.objid inner join specobj on specobj.specobjid = photoprimary.objid where photoprimary.dec between # and # and photoprimary.ra between # and # and galaxy.g between # and # and specobj.z between .# and .#
2019-03-05 05:19:00,1
2019-03-05 05:20:00,1
2019-03-05 05:21:00,3
2019-03-05 05:35:00,1
2019-03-05 05:36:00,1
2019-03-05 05:37:00,1
2019-03-05 06:10:00,12
2019-03-05 06:11:00,4
2019-03-05 06:15:00,3
2019-03-05 06:16:00,2
2019-03-05 06:18:00,8
2019-03-05 06:19:00,9
2019-03-05 06:21:00,7
2019-03-05 06:23:00,3
2019-03-05 06:24:00,1
2019-03-05 06:25:00,1
2019-03-05 06:26:00,2
2019-03-05 06:27:00,2
2019-03-05 06:28:00,6
2019-03-05 06:42:00,4
2019-03-05 06:43:00,1
2019-03-05 06:44:00,6
2019-03-05 06:45:00,3
2019-03-05 06:46:00,3
2019-03-05 06:47:00,5
2019-03-05 06:48:00,4
2019-03-05 07:41:00,7
2019-03-05 07:42:00,14
2019-03-05 07:43:00,5
